GL,Br,Statutory_GL,Statutory_Type,Transaction_Type,Headers
1110,NULL,411-01,Asset,XINV,NULL
1110,NULL,411-01,Asset,XOIP,NULL
1110,NULL,411-01,Asset,XOIR,NULL
1110,NULL,411-01,Asset,XPMT,NULL
1110,1,411-02,Asset,B2BT,NULL
1110,1,411-02,Asset,CADJ,NULL
1110,1,411-02,Asset,CLH,NULL
1110,1,411-02,Asset,DEP,NULL
1110,1,411-02,Asset,ICR,NULL
1110,1,411-02,Asset,INV,NULL
1110,1,411-02,Asset,IV,NULL
1110,1,411-02,Asset,JOV,NULL
1110,1,411-02,Asset,OUPA,NULL
1110,1,411-02,Asset,PMT,NULL
1110,1,411-02,Asset,RDCS,NULL
1110,1,411-02,Asset,XICR,NULL
1110,1,411-02,Asset,XINV,NULL
1110,1,411-02,Asset,XOIP,NULL
1110,1,411-02,Asset,XOIR,NULL
1110,1,411-02,Asset,XPMT,NULL
1110,2,411-03,Asset,B2BT,NULL
1110,2,411-03,Asset,CADJ,NULL
1110,2,411-03,Asset,CLH,NULL
1110,2,411-03,Asset,DEP,NULL
1110,2,411-03,Asset,ICR,NULL
1110,2,411-03,Asset,INV,NULL
1110,2,411-03,Asset,IV,NULL
1110,2,411-03,Asset,JOV,NULL
1110,2,411-03,Asset,OUPA,NULL
1110,2,411-03,Asset,PMT,NULL
1110,2,411-03,Asset,RDCS,NULL
1110,2,411-03,Asset,XICR,NULL
1110,2,411-03,Asset,XINV,NULL
1110,2,411-03,Asset,XOIP,NULL
1110,2,411-03,Asset,XOIR,NULL
1111,NULL,411-01,Asset,JOE,NULL
1111,NULL,411-01,Asset,RRD,NULL
1111,NULL,411-01,Asset,YEND,NULL
113100,NULL,411-03,Asset,B2BT,NULL
113100,NULL,411-03,Asset,CADJ,NULL
113100,NULL,411-03,Asset,CLH,NULL
113100,NULL,411-03,Asset,DEP,NULL
113100,NULL,411-03,Asset,ICR,NULL
113100,NULL,411-03,Asset,INV,NULL
113100,NULL,411-03,Asset,IV,NULL
113100,NULL,411-03,Asset,JOV,NULL
113100,NULL,411-03,Asset,OUPA,NULL
113100,NULL,411-03,Asset,PMT,NULL
113100,NULL,411-03,Asset,RDCS,NULL
113100,NULL,411-03,Asset,XICR,NULL
113100,NULL,411-03,Asset,XINV,NULL
113100,NULL,411-03,Asset,XOIP,NULL
113100,NULL,411-03,Asset,XOIR,NULL
114100,NULL,411-02,Asset,B2BT,NULL
114100,NULL,411-02,Asset,CADJ,NULL
114100,NULL,411-02,Asset,CLH,NULL
114100,NULL,411-02,Asset,DEP,NULL
114100,NULL,411-02,Asset,ICR,NULL
114100,NULL,411-02,Asset,INV,NULL
114100,NULL,411-02,Asset,IV,NULL
114100,NULL,411-02,Asset,JOV,NULL
114100,NULL,411-02,Asset,OUPA,NULL
114100,NULL,411-02,Asset,PMT,NULL
114100,NULL,411-02,Asset,RDCS,NULL
114100,NULL,411-02,Asset,XICR,NULL
