id,GL,BR,Statutory_GL,Statutory_Type,Transaction_Types,headers
574,4468,NULL,628-03,Expense,"[CADJ, CLH, IV, JOV, OUPA, RDCS, XOIP, XOIR]",[]
575,4468,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
576,4469,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
577,4469,NULL,704-03,Revenue,"[ICR, INV, XICR, XINV]",[]
578,4471,NULL,628-03,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
579,4472,NULL,628-03,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
580,4473,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
581,4474,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
582,4475,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
583,4476,NULL,628-03,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
584,4477,NULL,628-03,Expense,"[JOE, RCR, RIN, RRD, XRCR, XRIN, YEND]",[]
585,4478,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
586,4479,NULL,628-03,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RCR, RDCS, RIN, RRD, XOIP, XOIR, XRCR, XRIN, YEND]",[]
587,4481,NULL,628-02,Expense,"[CADJ, CLH, IV, JOE, JOV, OUPA, RDCS, RRD, XOIP, XOIR, YEND]",[]
